eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	FACULDADE DE DIREITO DA USP	LG SÃO FRANCISCO, 95	3107-2902/3111-4053	CENTRO		2	6	608	355030878000005	3550308005001	78	SE	9	SE	CENTRO	CENTRO	DIREITO DE ESTADO, DO TRAB., INTERNACIONAL, ETC.				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	GIBITECA MUNICIPAL HENFIL - CENTRO CULTURAL SÃOPAULO	R VERGUEIRO, 1.000	3397-4002	PARAÍSO	01504-00	1	2	84	355030849000103	3550308005008	49	LIBERDADE	9	SE	CENTRO	CENTRO	CENTRO CULTURAL	19910503		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	GILBERTO FREYRE	R JOSÉ JOAQUIM, 290	6103-1811	SAPOPEMBA	03272-00	1	2	38	355030876000027	3550308005156	76	SAPOPEMBA	29	VILA PRUDENTE	LESTE	LESTE 1	BIBLIOTECA	19880827	30	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	HANS CHRISTIAN ANDERSEN (TEMÁTICA EM CONTOS DE FADAS - 10/11/2007)	AV CELSO GARCIA, 4.142	2295-3447	TATUAPÉ	03064-00	1	2	50	355030880000021	3550308005036	80	TATUAPE	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA	19520709	165	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	HELENA SILVEIRA	R DR JOÃO B. REIMÃO, 146	5841-1259	CAMPO LIMPO	05788-27	1	2	140	355030817000190	3550308005235	17	CAMPO LIMPO	17	CAMPO LIMPO	SUL	SUL 2	BIBLIOTECA	19881105	30	ATENDE ÀS NORMAS	NÃO
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	IAB (INSTITUTO DE ARQUITETOS DO BRASIL)	R BENTO DE FREITAS, 306	3259-4053	CENTRO		4	6	614	355030866000088	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	ARQUITETURA				
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	INSTITUTO HANS STADEN DO CIÊNCIAS, LETRAS E INTERCÔMBIO CULTURAL BRASILEIRO-ALEMÒO	R SÚTE DE ABRIL, 59 - 2, 3 E 8 ANDARES	3151-6300	CENTRO		4	6	611	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	"IMIGRACÃO E CULTURA ALEMÃO; ARTE"				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	JAMIL ALMANSUR HADDAD	R ANDES, 491-A	6557-0067	GUAIANASES	08440-18	1	2	12	355030896000005	3550308005259	96	LAJEADO	28	GUAIANAZES	LESTE	LESTE 2	BIBLIOTECA	19910406	40	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	JOÃO CABRAL DE MELLO NETO - CEU VILA CURUÞSS	AV MARECHAL TITO, 3.400 -V. CURUCÁ	65636150	VILA CURUÇÁ		1	2	14	355030884000107	3550308005248	84	VILA CURUCA	24	ITAIM PAULISTA	LESTE	LESTE 2	CEU	20031128		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	JOÃO DO RIO - CEU CAMPO LIMPO	AV CARLOS LACERDA, 678 - CHÁCARA SÃO PEDRO	5843.4837/	CHÁCARA SÃO PEDRO		1	2	142	355030817000050	3550308005236	17	CAMPO LIMPO	17	CAMPO LIMPO	SUL	SUL 2	CEU	20040417		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	JOVINA ROCHA ALVARES  PESSOA	AV PADRE FRANCISCO DE TOLEDO, 331 - COHAB I	6741-7371	ITAQUERA	03590-12	1	2	32	355030805000081	3550308005148	5	ARTUR ALVIM	21	PENHA	LESTE	LESTE 1	BIBLIOTECA	19820124		ATENDE ÀS NORMAS	NÃO
